itemname,key,delay,value_type,description,application,discovery_rule,template,units
MySQL bytes received per second,mysql.status[Bytes_received],60,0,"The number of bytes received from all clients. 

It requires user parameter mysql.status[*], which is defined in 
userparameter_mysql.conf.",MySQL,,Template App OpenStack MySQL,Bps
MySQL bytes sent per second,mysql.status[Bytes_sent],60,0,"The number of bytes sent to all clients.

It requires user parameter mysql.status[*], which is defined in userparameter_mysql.conf.",MySQL,,Template App OpenStack MySQL,Bps
MySQL begin operations per second,mysql.status[Com_begin],60,0,"It requires user parameter mysql.status[*], which is defined in userparameter_mysql.conf.",MySQL,,Template App OpenStack MySQL,qps
MySQL commit operations per second,mysql.status[Com_commit],60,0,"It requires user parameter mysql.status[*], which is defined in userparameter_mysql.conf.",MySQL,,Template App OpenStack MySQL,qps
MySQL delete operations per second,mysql.status[Com_delete],60,0,"It requires user parameter mysql.status[*], which is defined in userparameter_mysql.conf.",MySQL,,Template App OpenStack MySQL,qps
MySQL insert operations per second,mysql.status[Com_insert],60,0,"It requires user parameter mysql.status[*], which is defined in userparameter_mysql.conf.",MySQL,,Template App OpenStack MySQL,qps
MySQL rollback operations per second,mysql.status[Com_rollback],60,0,"It requires user parameter mysql.status[*], which is defined in userparameter_mysql.conf.",MySQL,,Template App OpenStack MySQL,qps
MySQL select operations per second,mysql.status[Com_select],60,0,"It requires user parameter mysql.status[*], which is defined in userparameter_mysql.conf.",MySQL,,Template App OpenStack MySQL,qps
MySQL update operations per second,mysql.status[Com_update],60,0,"It requires user parameter mysql.status[*], which is defined in userparameter_mysql.conf.",MySQL,,Template App OpenStack MySQL,qps
MySQL queries per second,mysql.status[Questions],60,0,"It requires user parameter mysql.status[*], which is defined in userparameter_mysql.conf.",MySQL,,Template App OpenStack MySQL,qps
MySQL slow queries,mysql.status[Slow_queries],60,3,"It requires user parameter mysql.status[*], which is defined in userparameter_mysql.conf.",MySQL,,Template App OpenStack MySQL,
MySQL uptime,mysql.status[Uptime],60,3,"It requires user parameter mysql.status, which is defined in userparameter_mysql.conf.",MySQL,,Template App OpenStack MySQL,uptime
MySQL version,mysql.version,3600,1,"It requires user parameter mysql.uptime, which is defined in userparameter_mysql.conf.",MySQL,,Template App OpenStack MySQL,
Neutron API test succeeded,neutron.api.status,60,3,,Neutron API check,,Template App OpenStack Neutron API check,
Neutron DHCP Agent process is running,"proc.num[,neutron,,bin/python.*bin/neutron-dhcp-agent]",60,3,,Neutron DHCP Agent,,Template App OpenStack Neutron DHCP Agent,
Neutron L3 Agent process is running,"proc.num[,neutron,,bin/python.*bin/neutron-l3-agent]",60,3,,Neutron L3 Agent,,Template App OpenStack Neutron L3 Agent,
Neutron Metadata Agent process is running,"proc.num[,neutron,,bin/python.*bin/neutron-metadata-agent]",60,3,,Neutron Metadata Agent,,Template App OpenStack Neutron Metadata Agent,
Neutron OVS Agent process is running,"proc.num[,neutron,,bin/python.*bin/neutron-openvswitch-agent]",60,3,,Neutron OVS Agent,,Template App OpenStack Neutron OVS Agent,
Neutron Server is listening on port,"net.tcp.service[http,{$IP_MANAGEMENT},9696]",60,3,,Neutron Server,,Template App OpenStack Neutron Server,
Neutron Server process is running,"proc.num[,neutron,,bin/python.*bin/neutron-server]",60,3,,Neutron Server,,Template App OpenStack Neutron Server,
Nova API Server process is running,"proc.num[,nova,,bin/python.*bin/nova-api]",60,3,,Nova API,,Template App OpenStack Nova API,
Nova API EC2 Server is listening on port,"net.tcp.service[http,{$IP_MANAGEMENT},8773]",60,3,,Nova API EC2,,Template App OpenStack Nova API EC2,
Nova API Metadata Server is listening on port,"net.tcp.service[http,{$IP_MANAGEMENT},8775]",60,3,,Nova API Metadata,,Template App OpenStack Nova API Metadata,
Nova API OSAPI Compute Server is listening on port,"net.tcp.service[http,{$IP_MANAGEMENT},8774]",60,3,,Nova API OSAPI,,Template App OpenStack Nova API OSAPI,
Nova API test succeeded,nova.api.status,60,3,,Nova API OSAPI check,,Template App OpenStack Nova API OSAPI check,
Nova Cert Server process is running,"proc.num[,nova,,bin/python.*bin/nova-cert]",60,3,,Nova Cert,,Template App OpenStack Nova Cert,
Nova Compute Server process is running,"proc.num[,nova,,bin/python.*bin/nova-compute]",60,3,,Nova Compute,,Template App OpenStack Nova Compute,
Nova Conductor Server process is running,"proc.num[,nova,,bin/python.*bin/nova-conductor]",60,3,,Nova Conductor,,Template App OpenStack Nova Conductor,
Nova ConsoleAuth Server process is running,"proc.num[,nova,,bin/python.*bin/nova-consoleauth]",60,3,,Nova ConsoleAuth,,Template App OpenStack Nova ConsoleAuth,
Nova Network Server process is running,"proc.num[,nova,,bin/python.*bin/nova-network]",60,3,,Nova Network,,Template App OpenStack Nova Network,
Nova novncproxy Server process is running,"proc.num[,nova,,bin/python.*bin/nova-novncproxy]",60,3,,Nova novncproxy,,Template App OpenStack Nova novncproxy,
Nova Scheduler Server process is running,"proc.num[,nova,,bin/python.*bin/nova-scheduler]",60,3,,Nova Scheduler,,Template App OpenStack Nova Scheduler,
Open vSwitch Server process is running,"proc.num[,openvswitch,,ovs-vswitchd]",60,3,,Open vSwitch,,Template App OpenStack Open vSwitch,
Open vSwitch DB Server server process is running,"proc.num[,openvswitch,,ovsdb-server]",60,3,,Open vSwitch,,Template App OpenStack Open vSwitch,
Swift Account Server is listening on port,"net.tcp.service[http,{$IP_STORAGE},6002]",30,3,,Swift Account,,Template App OpenStack Swift Account,
Swift Account Replicator process is running,"proc.num[,swift,,bin/python.*bin/swift-account-replicator]",30,3,,Swift Account,,Template App OpenStack Swift Account,
Swift Account Server process is running,"proc.num[,swift,,bin/python.*bin/swift-account-server]",30,3,,Swift Account,,Template App OpenStack Swift Account,
Swift Container Server is listening on port,"net.tcp.service[http,{$IP_STORAGE},6001]",60,3,,Swift Container,,Template App OpenStack Swift Container,
Swift Container Replicator process is running,"proc.num[,swift,,bin/python.*bin/swift-container-replicator]",30,3,,Swift Container,,Template App OpenStack Swift Container,
Swift Container Server process is running,"proc.num[,swift,,bin/python.*bin/swift-container-server]",60,3,,Swift Container,,Template App OpenStack Swift Container,
Swift Object Server is listening on port,"net.tcp.service[http,{$IP_STORAGE},6000]",30,3,,Swift Object,,Template App OpenStack Swift Object,
Swift Object Replicator process is running,"proc.num[,swift,,bin/python.*bin/swift-object-replicator]",30,3,,Swift Object,,Template App OpenStack Swift Object,
Swift Object Server process is running,"proc.num[,swift,,bin/python.*bin/swift-object-server]",30,3,,Swift Object,,Template App OpenStack Swift Object,
Swift Proxy Server is listening on port,"net.tcp.service[http,{$IP_STORAGE},8080]",60,3,,Swift Proxy,,Template App OpenStack Swift Proxy,
Swift Proxy Server process is running,"proc.num[,swift,,bin/python.*bin/swift-proxy-server]",60,3,,Swift Proxy,,Template App OpenStack Swift Proxy,
POP service is running,net.tcp.service[pop],1m,3,,POP service,,Template App POP Service,
SMTP service is running,net.tcp.service[smtp],1m,3,,SMTP service,,Template App SMTP Service,
SSH service is running,net.tcp.service[ssh],1m,3,,SSH service,,Template App SSH Service,
Telnet service is running,net.tcp.service[telnet],1m,3,,Telnet service,,Template App Telnet Service,
Host name of zabbix_agentd running,agent.hostname,1h,1,,Zabbix agent,,Template App Zabbix Agent,
Agent ping,agent.ping,1m,3,The agent always returns 1 for this item. It could be used in combination with nodata() for availability check.,Zabbix agent,,Template App Zabbix Agent,
Version of zabbix_agent(d) running,agent.version,1h,1,,Zabbix agent,,Template App Zabbix Agent,
"Utilization of configuration syncer internal processes, in %","zabbix[process,configuration syncer,avg,busy]",1m,0,,Zabbix proxy,,Template App Zabbix Proxy,%
"Utilization of data sender internal processes, in %","zabbix[process,data sender,avg,busy]",1m,0,,Zabbix proxy,,Template App Zabbix Proxy,%
"Utilization of discoverer data collector processes, in %","zabbix[process,discoverer,avg,busy]",1m,0,,Zabbix proxy,,Template App Zabbix Proxy,%
"Utilization of heartbeat sender internal processes, in %","zabbix[process,heartbeat sender,avg,busy]",1m,0,,Zabbix proxy,,Template App Zabbix Proxy,%
"Utilization of history syncer internal processes, in %","zabbix[process,history syncer,avg,busy]",1m,0,,Zabbix proxy,,Template App Zabbix Proxy,%
"Utilization of housekeeper internal processes, in %","zabbix[process,housekeeper,avg,busy]",1m,0,,Zabbix proxy,,Template App Zabbix Proxy,%
"Utilization of http poller data collector processes, in %","zabbix[process,http poller,avg,busy]",1m,0,,Zabbix proxy,,Template App Zabbix Proxy,%
"Utilization of icmp pinger data collector processes, in %","zabbix[process,icmp pinger,avg,busy]",1m,0,,Zabbix proxy,,Template App Zabbix Proxy,%
"Utilization of ipmi manager internal processes, in %","zabbix[process,ipmi manager,avg,busy]",1m,0,,Zabbix proxy,,Template App Zabbix Proxy,%
"Utilization of ipmi poller data collector processes, in %","zabbix[process,ipmi poller,avg,busy]",1m,0,,Zabbix proxy,,Template App Zabbix Proxy,%
"Utilization of java poller data collector processes, in %","zabbix[process,java poller,avg,busy]",1m,0,,Zabbix proxy,,Template App Zabbix Proxy,%
"Utilization of poller data collector processes, in %","zabbix[process,poller,avg,busy]",1m,0,,Zabbix proxy,,Template App Zabbix Proxy,%
"Utilization of self-monitoring internal processes, in %","zabbix[process,self-monitoring,avg,busy]",1m,0,,Zabbix proxy,,Template App Zabbix Proxy,%
"Utilization of snmp trapper data collector processes, in %","zabbix[process,snmp trapper,avg,busy]",1m,0,,Zabbix proxy,,Template App Zabbix Proxy,%
"Utilization of task manager internal processes, in %","zabbix[process,task manager,avg,busy]",1m,0,,Zabbix proxy,,Template App Zabbix Proxy,%
"Utilization of trapper data collector processes, in %","zabbix[process,trapper,avg,busy]",1m,0,,Zabbix proxy,,Template App Zabbix Proxy,%
"Utilization of unreachable poller data collector processes, in %","zabbix[process,unreachable poller,avg,busy]",1m,0,,Zabbix proxy,,Template App Zabbix Proxy,%
"Utilization of vmware data collector processes, in %","zabbix[process,vmware collector,avg,busy]",1m,0,,Zabbix proxy,,Template App Zabbix Proxy,
Zabbix queue over 10 minutes,"zabbix[queue,10m]",10m,3,,Zabbix proxy,,Template App Zabbix Proxy,
Zabbix queue,zabbix[queue],1m,3,,Zabbix proxy,,Template App Zabbix Proxy,
"Zabbix configuration cache, % used","zabbix[rcache,buffer,pused]",1m,0,,Zabbix proxy,,Template App Zabbix Proxy,%
"Zabbix vmware cache, % used","zabbix[vmware,buffer,pused]",1m,0,,Zabbix proxy,,Template App Zabbix Proxy,
"Zabbix history write cache, % used","zabbix[wcache,history,pused]",1m,0,,Zabbix proxy,,Template App Zabbix Proxy,%
"Zabbix history index cache, % used","zabbix[wcache,index,pused]",1m,0,,Zabbix proxy,,Template App Zabbix Proxy,%
Number of processed numeric (float) values per second,"zabbix[wcache,values,float]",1m,0,,Zabbix proxy,,Template App Zabbix Proxy,
Number of processed log values per second,"zabbix[wcache,values,log]",1m,0,,Zabbix proxy,,Template App Zabbix Proxy,
Number of processed not supported values per second,"zabbix[wcache,values,not supported]",1m,0,,Zabbix proxy,,Template App Zabbix Proxy,
Number of processed character values per second,"zabbix[wcache,values,str]",1m,0,,Zabbix proxy,,Template App Zabbix Proxy,
Number of processed text values per second,"zabbix[wcache,values,text]",1m,0,,Zabbix proxy,,Template App Zabbix Proxy,
Number of processed numeric (unsigned) values per second,"zabbix[wcache,values,uint]",1m,0,,Zabbix proxy,,Template App Zabbix Proxy,
Number of processed values per second,"zabbix[wcache,values]",1m,0,,Zabbix proxy,,Template App Zabbix Proxy,
Zabbix preprocessing queue,zabbix[preprocessing_queue],1m,3,Count of values enqueued in the preprocessing queue.,Zabbix server,,Template App Zabbix Server,
"Utilization of alerter internal processes, in %","zabbix[process,alerter,avg,busy]",1m,0,,Zabbix server,,Template App Zabbix Server,%
"Utilization of alert manager internal processes, in %","zabbix[process,alert manager,avg,busy]",1m,0,,Zabbix server,,Template App Zabbix Server,%
"Utilization of configuration syncer internal processes, in %","zabbix[process,configuration syncer,avg,busy]",1m,0,,Zabbix server,,Template App Zabbix Server,%
"Utilization of discoverer data collector processes, in %","zabbix[process,discoverer,avg,busy]",1m,0,,Zabbix server,,Template App Zabbix Server,%
"Utilization of escalator internal processes, in %","zabbix[process,escalator,avg,busy]",1m,0,,Zabbix server,,Template App Zabbix Server,%
"Utilization of history syncer internal processes, in %","zabbix[process,history syncer,avg,busy]",1m,0,,Zabbix server,,Template App Zabbix Server,%
"Utilization of housekeeper internal processes, in %","zabbix[process,housekeeper,avg,busy]",1m,0,,Zabbix server,,Template App Zabbix Server,%
"Utilization of http poller data collector processes, in %","zabbix[process,http poller,avg,busy]",1m,0,,Zabbix server,,Template App Zabbix Server,%
"Utilization of icmp pinger data collector processes, in %","zabbix[process,icmp pinger,avg,busy]",1m,0,,Zabbix server,,Template App Zabbix Server,%
"Utilization of ipmi manager internal processes, in %","zabbix[process,ipmi manager,avg,busy]",1m,0,,Zabbix server,,Template App Zabbix Server,%
"Utilization of ipmi poller data collector processes, in %","zabbix[process,ipmi poller,avg,busy]",1m,0,,Zabbix server,,Template App Zabbix Server,%
"Utilization of java poller data collector processes, in %","zabbix[process,java poller,avg,busy]",1m,0,,Zabbix server,,Template App Zabbix Server,%
"Utilization of poller data collector processes, in %","zabbix[process,poller,avg,busy]",1m,0,,Zabbix server,,Template App Zabbix Server,%
"Utilization of preprocessing manager internal processes, in %","zabbix[process,preprocessing manager,avg,busy]",1m,0,,Zabbix server,,Template App Zabbix Server,%
"Utilization of preprocessing worker internal processes, in %","zabbix[process,preprocessing worker,avg,busy]",1m,0,,Zabbix server,,Template App Zabbix Server,%
"Utilization of proxy poller data collector processes, in %","zabbix[process,proxy poller,avg,busy]",1m,0,,Zabbix server,,Template App Zabbix Server,%
"Utilization of self-monitoring internal processes, in %","zabbix[process,self-monitoring,avg,busy]",1m,0,,Zabbix server,,Template App Zabbix Server,%
"Utilization of snmp trapper data collector processes, in %","zabbix[process,snmp trapper,avg,busy]",1m,0,,Zabbix server,,Template App Zabbix Server,%
"Utilization of task manager internal processes, in %","zabbix[process,task manager,avg,busy]",1m,0,,Zabbix server,,Template App Zabbix Server,%
"Utilization of timer internal processes, in %","zabbix[process,timer,avg,busy]",1m,0,,Zabbix server,,Template App Zabbix Server,%
"Utilization of trapper data collector processes, in %","zabbix[process,trapper,avg,busy]",1m,0,,Zabbix server,,Template App Zabbix Server,%
"Utilization of unreachable poller data collector processes, in %","zabbix[process,unreachable poller,avg,busy]",1m,0,,Zabbix server,,Template App Zabbix Server,%
"Utilization of vmware data collector processes, in %","zabbix[process,vmware collector,avg,busy]",1m,0,,Zabbix server,,Template App Zabbix Server,%
Zabbix queue over 10 minutes,"zabbix[queue,10m]",10m,3,,Zabbix server,,Template App Zabbix Server,
Zabbix queue,zabbix[queue],10m,3,,Zabbix server,,Template App Zabbix Server,
"Zabbix configuration cache, % used","zabbix[rcache,buffer,pused]",1m,0,,Zabbix server,,Template App Zabbix Server,%
"Zabbix value cache, % used","zabbix[vcache,buffer,pused]",1m,0,,Zabbix server,,Template App Zabbix Server,%
Zabbix value cache hits,"zabbix[vcache,cache,hits]",1m,0,,Zabbix server,,Template App Zabbix Server,vps
Zabbix value cache misses,"zabbix[vcache,cache,misses]",1m,0,,Zabbix server,,Template App Zabbix Server,vps
Zabbix value cache operating mode,"zabbix[vcache,cache,mode]",1m,3,,Zabbix server,,Template App Zabbix Server,
"Zabbix vmware cache, % used","zabbix[vmware,buffer,pused]",1m,0,,Zabbix server,,Template App Zabbix Server,%
"Zabbix history write cache, % used","zabbix[wcache,history,pused]",1m,0,,Zabbix server,,Template App Zabbix Server,%
"Zabbix history index cache, % used","zabbix[wcache,index,pused]",1m,0,,Zabbix server,,Template App Zabbix Server,%
"Zabbix trend write cache, % used","zabbix[wcache,trend,pused]",1m,0,,Zabbix server,,Template App Zabbix Server,%
Number of processed numeric (float) values per second,"zabbix[wcache,values,float]",1m,0,,Zabbix server,,Template App Zabbix Server,
Number of processed log values per second,"zabbix[wcache,values,log]",1m,0,,Zabbix server,,Template App Zabbix Server,
Number of processed not supported values per second,"zabbix[wcache,values,not supported]",1m,0,,Zabbix server,,Template App Zabbix Server,
Number of processed character values per second,"zabbix[wcache,values,str]",1m,0,,Zabbix server,,Template App Zabbix Server,
Number of processed text values per second,"zabbix[wcache,values,text]",1m,0,,Zabbix server,,Template App Zabbix Server,
Number of processed numeric (unsigned) values per second,"zabbix[wcache,values,uint]",1m,0,,Zabbix server,,Template App Zabbix Server,
Number of processed values per second,"zabbix[wcache,values]",1m,0,,Zabbix server,,Template App Zabbix Server,
MySQL status,mysql.ping,1m,3,"It requires user parameter mysql.ping, which is defined in userparameter_mysql.conf.

0 - MySQL server is down
1 - MySQL server is up",MySQL,,Template DB MySQL,
MySQL bytes received per second,mysql.status[Bytes_received],1m,0,"The number of bytes received from all clients. 

It requires user parameter mysql.status[*], which is defined in 
userparameter_mysql.conf.",MySQL,,Template DB MySQL,Bps
MySQL bytes sent per second,mysql.status[Bytes_sent],1m,0,"The number of bytes sent to all clients.

It requires user parameter mysql.status[*], which is defined in userparameter_mysql.conf.",MySQL,,Template DB MySQL,Bps
MySQL begin operations per second,mysql.status[Com_begin],1m,0,"It requires user parameter mysql.status[*], which is defined in userparameter_mysql.conf.",MySQL,,Template DB MySQL,qps
MySQL commit operations per second,mysql.status[Com_commit],1m,0,"It requires user parameter mysql.status[*], which is defined in userparameter_mysql.conf.",MySQL,,Template DB MySQL,qps
MySQL delete operations per second,mysql.status[Com_delete],1m,0,"It requires user parameter mysql.status[*], which is defined in userparameter_mysql.conf.",MySQL,,Template DB MySQL,qps
MySQL insert operations per second,mysql.status[Com_insert],1m,0,"It requires user parameter mysql.status[*], which is defined in userparameter_mysql.conf.",MySQL,,Template DB MySQL,qps
MySQL rollback operations per second,mysql.status[Com_rollback],1m,0,"It requires user parameter mysql.status[*], which is defined in userparameter_mysql.conf.",MySQL,,Template DB MySQL,qps
MySQL select operations per second,mysql.status[Com_select],1m,0,"It requires user parameter mysql.status[*], which is defined in userparameter_mysql.conf.",MySQL,,Template DB MySQL,qps
MySQL update operations per second,mysql.status[Com_update],1m,0,"It requires user parameter mysql.status[*], which is defined in userparameter_mysql.conf.",MySQL,,Template DB MySQL,qps
MySQL queries per second,mysql.status[Questions],1m,0,"It requires user parameter mysql.status[*], which is defined in userparameter_mysql.conf.",MySQL,,Template DB MySQL,qps
MySQL slow queries,mysql.status[Slow_queries],1m,3,"It requires user parameter mysql.status[*], which is defined in userparameter_mysql.conf.",MySQL,,Template DB MySQL,
MySQL uptime,mysql.status[Uptime],1m,3,"It requires user parameter mysql.status[*], which is defined in userparameter_mysql.conf.",MySQL,,Template DB MySQL,uptime
MySQL version,mysql.version,1h,1,"It requires user parameter mysql.version, which is defined in userparameter_mysql.conf.",MySQL,,Template DB MySQL,
CPU utilization,system.cpu.util[snAgGblCpuUtil1MinAvg.0],3m,0,"MIB: FOUNDRY-SN-AGENT-MIB
The statistics collection of 1 minute CPU utilization.",CPU,,Template Module Brocade_Foundry Performance SNMPv2,%
Memory utilization,vm.memory.pused[snAgGblDynMemUtil.0],3m,0,"MIB: FOUNDRY-SN-AGENT-MIB
The system dynamic memory utilization, in unit of percentage.
Deprecated: Refer to snAgSystemDRAMUtil.
For NI platforms, refer to snAgentBrdMemoryUtil100thPercent",Memory,,Template Module Brocade_Foundry Performance SNMPv2,%
Hardware model name,system.hw.model,1h,1,MIB: ENTITY-MIB,Inventory,,Template Module Cisco Inventory SNMPv2,
Hardware serial number,system.hw.serialnumber,1h,1,MIB: ENTITY-MIB,Inventory,,Template Module Cisco Inventory SNMPv2,
Operating system,system.sw.os,1h,1,MIB: SNMPv2-MIB,Inventory,,Template Module Cisco Inventory SNMPv2,
CPU utilization,system.cpu.util[avgBusy5],3m,0,"MIB: OLD-CISCO-CPU-MIB
5 minute exponentially-decayed moving average of the CPU busy percentage.
Reference: http://www.cisco.com/c/en/us/support/docs/ip/simple-network-management-protocol-snmp/15215-collect-cpu-util-snmp.html",CPU,,Template Module Cisco OLD-CISCO-CPU-MIB SNMPv2,%
SNMP traps (fallback),snmptrap.fallback,5m,2,Item is used to collect all SNMP traps unmatched by other snmptrap items,General,,Template Module Generic SNMPv1,
Device contact details,system.contact,1h,1,"MIB: SNMPv2-MIB
The textual identification of the contact person for this managed node, together with information on how to contact this person.  If no contact information is known, the value is the zero-length string.",General,,Template Module Generic SNMPv1,
Device description,system.descr,1h,1,"MIB: SNMPv2-MIB
A textual description of the entity.  This value should
include the full name and version identification of the system's hardware type, software operating-system, and
networking software.",General,,Template Module Generic SNMPv1,
Device location,system.location,1h,1,"MIB: SNMPv2-MIB
The physical location of this node (e.g., `telephone closet, 3rd floor').  If the location is unknown, the value is the zero-length string.",General,,Template Module Generic SNMPv1,
Device name,system.name,1h,1,"MIB: SNMPv2-MIB
An administratively-assigned name for this managed node.By convention, this is the node's fully-qualified domain name.  If the name is unknown, the value is the zero-length string.",General,,Template Module Generic SNMPv1,
System object ID,system.objectid,1h,1,"MIB: SNMPv2-MIB
The vendor's authoritative identification of the network management subsystem contained in the entity.  This value is allocated within the SMI enterprises subtree (1.3.6.1.4.1) and provides an easy and unambiguous means for determining`what kind of box' is being managed.  For example, if vendor`Flintstones, Inc.' was assigned the subtree1.3.6.1.4.1.4242, it could assign the identifier 1.3.6.1.4.1.4242.1.1 to its `Fred Router'.",General,,Template Module Generic SNMPv1,
Device uptime,system.uptime[sysUpTime],30s,3,"MIB: SNMPv2-MIB
The time (in hundredths of a second) since the network management portion of the system was last re-initialized.",Status,,Template Module Generic SNMPv1,uptime
SNMP availability,"zabbix[host,snmp,available]",1m,3,,Status,,Template Module Generic SNMPv1,
SNMP traps (fallback),snmptrap.fallback,5m,2,Item is used to collect all SNMP traps unmatched by other snmptrap items,General,,Template Module Generic SNMPv2,
Device contact details,system.contact,1h,1,"MIB: SNMPv2-MIB
The textual identification of the contact person for this managed node, together with information on how to contact this person.  If no contact information is known, the value is the zero-length string.",General,,Template Module Generic SNMPv2,
Device description,system.descr,1h,1,"MIB: SNMPv2-MIB
A textual description of the entity.  This value should
include the full name and version identification of the system's hardware type, software operating-system, and
networking software.",General,,Template Module Generic SNMPv2,
Device location,system.location,1h,1,"MIB: SNMPv2-MIB
The physical location of this node (e.g., `telephone closet, 3rd floor').  If the location is unknown, the value is the zero-length string.",General,,Template Module Generic SNMPv2,
Device name,system.name,1h,1,"MIB: SNMPv2-MIB
An administratively-assigned name for this managed node.By convention, this is the node's fully-qualified domain name.  If the name is unknown, the value is the zero-length string.",General,,Template Module Generic SNMPv2,
System object ID,system.objectid,1h,1,"MIB: SNMPv2-MIB
The vendor's authoritative identification of the network management subsystem contained in the entity.  This value is allocated within the SMI enterprises subtree (1.3.6.1.4.1) and provides an easy and unambiguous means for determining`what kind of box' is being managed.  For example, if vendor`Flintstones, Inc.' was assigned the subtree1.3.6.1.4.1.4242, it could assign the identifier 1.3.6.1.4.1.4242.1.1 to its `Fred Router'.",General,,Template Module Generic SNMPv2,
Device uptime,system.uptime[sysUpTime],30s,3,"MIB: SNMPv2-MIB
The time (in hundredths of a second) since the network management portion of the system was last re-initialized.",Status,,Template Module Generic SNMPv2,uptime
SNMP availability,"zabbix[host,snmp,available]",1m,3,,Status,,Template Module Generic SNMPv2,
ICMP ping,icmpping,1m,3,,Status,,Template Module ICMP Ping,
ICMP loss,icmppingloss,1m,0,,Status,,Template Module ICMP Ping,%
ICMP response time,icmppingsec,1m,0,,Status,,Template Module ICMP Ping,s
CPU utilization,system.cpu.util[sgiCpuUsage.0],3m,0,"MIB: TIMETRA-SYSTEM-MIB
The value of sgiCpuUsage indicates the current CPU utilization for the system.",CPU,,Template Net Alcatel Timetra TiMOS SNMPv2,%
Hardware model name,system.hw.model,1h,1,MIB: SNMPv2-MIB,Inventory,,Template Net Alcatel Timetra TiMOS SNMPv2,
Operating system,system.sw.os,1h,1,MIB: SNMPv2-MIB,Inventory,,Template Net Alcatel Timetra TiMOS SNMPv2,
Available memory,vm.memory.free[sgiKbMemoryAvailable.0],3m,3,"MIB: TIMETRA-SYSTEM-MIB
The value of sgiKbMemoryAvailable indicates the amount of freememory, in kilobytes, in the overall system that is not allocated to memory pools, but is available in case a memory pool needs to grow.",Memory,,Template Net Alcatel Timetra TiMOS SNMPv2,B
Memory utilization,vm.memory.pused[vm.memory.pused.0],3m,0,Memory utilization in %,Memory,,Template Net Alcatel Timetra TiMOS SNMPv2,%
Used memory,vm.memory.used[sgiKbMemoryUsed.0],3m,3,"MIB: TIMETRA-SYSTEM-MIB
The value of sgiKbMemoryUsed indicates the total pre-allocated pool memory, in kilobytes, currently in use on the system.",Memory,,Template Net Alcatel Timetra TiMOS SNMPv2,B
CPU utilization,system.cpu.util[swCpuUsage.0],3m,0,"MIB: SW-MIB
System's CPU usage.",CPU,,Template Net Brocade FC SNMPv2,%
Firmware version,system.hw.firmware,1h,1,MIB: SW-MIB,Inventory,,Template Net Brocade FC SNMPv2,
Hardware serial number,system.hw.serialnumber,1h,1,MIB: SW-MIB,Inventory,,Template Net Brocade FC SNMPv2,
Overall system health status,system.status[swOperStatus.0],30s,3,"MIB: SW-MIB
The current operational status of the switch.The states are as follow:
online(1) means the switch is accessible by an external Fibre Channel port
offline(2) means the switch is not accessible
testing(3) means the switch is in a built-in test mode and is not accessible by an external Fibre Channel port
faulty(4) means the switch is not operational.",Status,,Template Net Brocade FC SNMPv2,
Memory utilization,vm.memory.pused[swMemUsage.0],3m,0,"MIB: SW-MIB
Memory utilization in %",Memory,,Template Net Brocade FC SNMPv2,%
Firmware version,system.hw.firmware,1h,1,"MIB: FOUNDRY-SN-AGENT-MIB
The version of the running software in the form'major.minor.maintenance[letters]'",Inventory,,Template Net Brocade_Foundry Nonstackable SNMPv2,
Hardware serial number,system.hw.serialnumber,1h,1,MIB: FOUNDRY-SN-AGENT-MIB,Inventory,,Template Net Brocade_Foundry Nonstackable SNMPv2,
Firmware version,system.hw.firmware,1h,1,"MIB: FOUNDRY-SN-AGENT-MIB
The version of the running software in the form 'major.minor.maintenance[letters]'",Inventory,,Template Net Brocade_Foundry Stackable SNMPv2,
CPU utilization,system.cpu.util[myCPUUtilization5Min.0],3m,0,"MIB: MY-PROCESS-MIB
CPU utilization in %",CPU,,Template Net D-Link DES 7200 SNMPv2,%
Firmware version,system.hw.firmware,1h,1,MIB: ENTITY-MIB,Inventory,,Template Net D-Link DES 7200 SNMPv2,
Hardware model name,system.hw.model,1h,1,"MIB: SNMPv2-MIB
A textual description of the entity. This value should
include the full name and version identification of the system's hardware type, software operating-system, and
networking software.",Inventory,,Template Net D-Link DES 7200 SNMPv2,
Hardware version(revision),system.hw.version,1h,1,MIB: ENTITY-MIB,Inventory,,Template Net D-Link DES 7200 SNMPv2,
Operating system,system.sw.os,1h,1,MIB: MY-SYSTEM-MIB,Inventory,,Template Net D-Link DES 7200 SNMPv2,
CPU utilization,system.cpu.util[agentCPUutilizationIn1min.0],3m,0,"MIB: DLINK-AGENT-MIB
The unit of time is 1 minute. The value will be between 0% (idle) and 100%(very busy).",CPU,,Template Net D-Link DES_DGS Switch SNMPv2,%
Firmware version,system.hw.firmware,1h,1,MIB: ENTITY-MIB,Inventory,,Template Net D-Link DES_DGS Switch SNMPv2,
Hardware model name,system.hw.model,1h,1,"MIB: SNMPv2-MIB
A textual description of the entity.  This value should
include the full name and version identification of the system's hardware type, software operating-system, and
networking software.",Inventory,,Template Net D-Link DES_DGS Switch SNMPv2,
Hardware serial number,system.hw.serialnumber,1h,1,"MIB: DLINK-AGENT-MIB
A text string containing the serial number of this device.",Inventory,,Template Net D-Link DES_DGS Switch SNMPv2,
Hardware version(revision),system.hw.version,1h,1,MIB: ENTITY-MIB,Inventory,,Template Net D-Link DES_DGS Switch SNMPv2,
